Customer_ID,Customer_Role,Specialty_Service,Establishment_Type,Country,Language,Years_Experience,Skill_Level_Self_Assessed,OPCO_Eligibility,Has_BD_Contract,Format_Preference,Available_Time_Hours,Training_Objective,Preferred_BD_Product,Prior_BD_Trainings,Completed_Training_Treatment,Satisfaction_Score_Proxy
HCP0023,System Manager,Medical Biology,Hospital Universitário,Portugal,Português (pt) - Portuguese,8,Intermediate,Yes,Yes,Webinar,40,Prepare for OPCO-funded certification in vascular access,BD Alaris™,,Yes,3.6
HCP0024,Nurse,ICU / Critical Care,Privatklinik,Germany,Deutsch (de) - German,15,Advanced,No,No,Webinar,24,Improve infusion safety and reduce medication errors,BD Provena™,BD5297,No,3.9
HCP0025,Physician,Geriatrics,Privatklinik,Germany,Deutsch (de) - German,21,Intermediate,No,Yes,E-learning,8,Prepare for targeted temperature management protocol implementation,BD PICCline,BD9418,No,2.8
HCP0026,System Manager,Operating Theatre,Community Trust,United Kingdom,English (United Kingdom),8,Advanced,No,Yes,Blended,40,Enhance PICC line insertion and maintenance skills,BD Bair Hugger™,BD0988,No,4.6
HCP0027,Physician,Surgical ICU,Regionaal Ziekenhuis,Netherlands,Nederlands (nl) - Dutch,1,Intermediate,No,Yes,On-site,16,Prepare for BD Vacutainer® train-the-trainer programme,,,No,3.2
HCP0028,Pharmacy Manager,Gériatrie,Hôpital Général,France,Français (fr) - French,10,Advanced,Yes,Yes,Masterclass,4,Former les nouveaux utilisateurs au système BD Alaris™,BD A-Line™,,No,4.5
HCP0029,Physician,Cardiologie,Primärvård,Sweden,Svenska (sv) - Swedish,8,Beginner,No,Yes,Blended,8,Gain expert-level certification in TTM management,BD Vacutainer®,BD8241,No,3.5
HCP0030,Nurse,Nephrology,Community Hospital,Croatia,Hrvatski (hr) - Croatian,1,Expert,No,Yes,E-learning,2,Optimise Pyxis ES dispensing workflows,BD Foley,BD4964,Yes,4.2
HCP0031,Physician,Pediatrics,Clinique Privée,France,Français (fr) - French,18,Advanced,Yes,Yes,E-learning,8,Préparer une certification financée par l'OPCO en accès vasculaire,BD Nexiva™,,Yes,
HCP0032,Pharmacist,Cardiac ICU,Private Hospital,Israel,English (United Kingdom),9,Beginner,No,Yes,E-learning,16,Prepare for OPCO-funded certification in vascular access,BD Alaris™,BD2976,Yes,4.9
HCP0033,Pharmacist,Vascular Surgery,MSP,France,Français (fr) - French,3,Advanced,Yes,Yes,Webinar,24,Optimiser les workflows de dispensation sur le système Pyxis ES,BD BodyGuard T,BD5144,Yes,
HCP0034,Pharmacist,Anesthesiology,Academic Medical Center,Hungary,Magyar (hu) - Hungarian,26,Beginner,No,Yes,Webinar,4,Develop vascular access unit expertise,BD Vacutainer®,BD4018,Yes,4.8
HCP0035,Pharmacist,Infectious Disease,Ospedale Universitario,Italy,Italiano (it) - Italian,16,Beginner,Yes,Yes,E-learning,16,Improve infusion safety and reduce medication errors,,BD6266,Yes,4.5
HCP0036,ICU Specialist,Medical ICU,Universitetssjukhus,Finland,Suomi (fi) - Finnish,16,Intermediate,No,No,Webinar,24,Improve pre-analytical quality and reduce specimen non-conformances,BD Insyte™,,Yes,3.6
HCP0037,Nurse Practitioner,Gastroenterology,Centro de Salud,Spain,Español (es) - Spanish,3,Beginner,Yes,Yes,Webinar,24,Optimise Pyxis ES dispensing workflows,BD A-Line™,BD2494,No,2.6
HCP0038,Nurse,Dispensing Automation,Clinique Privée,France,Français (fr) - French,16,Advanced,Yes,No,E-learning,8,Préparer une certification financée par l'OPCO en accès vasculaire,BD Nexiva™,,No,4.7
HCP0039,Pharmacist,Geriatrics,CHU,France,Français (fr) - French,25,Beginner,Yes,Yes,On-site,40,Maîtriser les techniques de prélèvement avec BD Vacutainer®,BD TTM System,,No,
HCP0040,Physician,Anesthesiology,Kreiskrankenhaus,Austria,Deutsch (de) - German,1,Intermediate,No,Yes,Masterclass,4,Support career development with certified training (Qualiopi equivalent),,BD9664,No,4.2
HCP0041,Physician,Pharmacie Hospitalière,GP Surgery,United Kingdom,English (United Kingdom),6,Advanced,No,Yes,Webinar,2,Optimise Pyxis ES dispensing workflows,BD Provena™,BD3731,Yes,
HCP0042,ICU Specialist,Infectious Disease,Clinique Privée,France,Français (fr) - French,16,Intermediate,Yes,No,E-learning,4,Former les nouveaux utilisateurs au système BD Alaris™,BD TTM System,,No,3.1
HCP0043,Biomedical Engineer,EHR Integration,Policlinico,Italy,Italiano (it) - Italian,7,Intermediate,Yes,Yes,E-learning,4,Prepare for targeted temperature management protocol implementation,BD Bair Hugger™,,Yes,
HCP0044,Nurse,Nephrology,Universitetssjukhus,Norway,Norsk (Ino) - Norwegian,19,Advanced,Yes,Yes,Webinar,16,Enhance PICC line insertion and maintenance skills,BD PICCline,BD0320,No,4.4
HCP0045,Nurse,Formulary Management,Ospedale Universitario,Italy,Italiano (it) - Italian,27,Intermediate,No,Yes,E-learning,4,Develop vascular access unit expertise,Pyxis ES,BD7181,No,2.7
HCP0046,Nurse,Infectious Disease,Academic Medical Center,United States,English (United States),23,Beginner,Yes,No,Webinar,24,Master blood collection techniques with BD Vacutainer® systems,BD PICCline,,No,2.7
HCP0047,Nurse,Neurologie,Kantonsspital,Switzerland,Deutsch (de) - German,9,Beginner,Yes,No,E-learning,16,Onboard new staff on BD Alaris™ infusion pump systems,,BD4964,Yes,4.6
HCP0048,Nurse,ICU / Critical Care,Private Hospital,United Kingdom,English (United Kingdom),21,Intermediate,No,No,E-learning,40,Gain expert-level certification in TTM management,BD Insyte™,BD8262,No,3.1
HCP0049,Pharmacist,Cardiology,Centro de Salud,Spain,Español (es) - Spanish,13,Intermediate,Yes,Yes,Webinar,4,Optimise Pyxis ES dispensing workflows,BD Rowa™,BD0647,Yes,4.5
HCP0050,Physician,EHR Integration,Universitätsspital,Switzerland,Deutsch (de) - German,30,Beginner,No,Yes,E-learning,16,Optimise Pyxis ES dispensing workflows,BD Provena™,BD1972,Yes,3.7
HCP0051,ICU Specialist,Biomedical Engineering,ESPIC,France,Français (fr) - French,6,Advanced,Yes,No,E-learning,40,Obtenir une certification avancée en gestion de la TTM,BD Microtainer®,BD3438,Yes,3.4
HCP0052,Physician,EHR Integration,Centro de Salud,Spain,Español (es) - Spanish,8,Advanced,No,Yes,E-learning,4,Support career development with certified training (Qualiopi equivalent),BD Bair Hugger™,BD3422,Yes,3.0
HCP0053,ICU Specialist,Soins Intensifs,Ospedale Regionale,Italy,Italiano (it) - Italian,7,Advanced,No,Yes,Webinar,24,Train on BD Rowa™ pharmacy automation system,BD Nexiva™,BD0310,No,2.8
HCP0054,Physician,Réanimation,Private Hospital,Romania,Română (ro) - Romanian,18,Advanced,No,Yes,Blended,2,Onboard new staff on BD Alaris™ infusion pump systems,BD Alaris™,,Yes,3.3
HCP0055,Nurse,Vascular Surgery,EHPAD,France,Français (fr) - French,22,Intermediate,Yes,Yes,Webinar,16,Former les nouveaux utilisateurs au système BD Alaris™,BD Preset™,,No,2.9
HCP0056,Nurse,Réanimation,HAD,France,Français (fr) - French,4,Intermediate,Yes,Yes,Blended,8,Améliorer la conformité préanalytique et réduire les non-conformités,BD Vacutainer®,BD3277,Yes,4.4
HCP0057,Physician,Neurology,Ospedale Universitario,Italy,Italiano (it) - Italian,14,Expert,No,Yes,Webinar,4,Validate Qualiopi competencies for task delegation,BD Alaris™,,Yes,5.0
HCP0058,Nurse,Hematology,HAD,France,Français (fr) - French,25,Beginner,Yes,No,E-learning,40,Maîtriser les techniques de prélèvement avec BD Vacutainer®,BD A-Line™,BD2629,Yes,2.5
HCP0059,Physician,Pharmacy Management,ESPIC,France,Français (fr) - French,12,Expert,Yes,Yes,Webinar,4,Améliorer la sécurité des perfusions et réduire les erreurs médicamenteuses,BD Eclipse™,BD8713,Yes,3.3
HCP0060,Anesthesiologist,Soins Intensifs,Academic Medical Center,United States,English (United States),8,Beginner,No,Yes,Blended,2,Prepare for OPCO-funded certification in vascular access,BD Insyte™,BD8306,Yes,4.2
HCP0061,Physician,Equipment Maintenance,Casa di Cura,Italy,Italiano (it) - Italian,10,Intermediate,No,No,E-learning,4,Validate Qualiopi competencies for task delegation,BD A-Line™,BD3435,Yes,4.5
HCP0062,Pharmacy Manager,ICU / Critical Care,Hospital Distrital,Portugal,Português (pt) - Portuguese,21,Beginner,Yes,Yes,E-learning,4,Gain expert-level certification in TTM management,BD Eclipse™,,Yes,4.3
HCP0063,Biomedical Engineer,Dispensing Automation,Hôpital Général,France,Français (fr) - French,15,Intermediate,Yes,No,E-learning,2,Améliorer la sécurité des perfusions et réduire les erreurs médicamenteuses,BD PICCline,,No,
HCP0064,System Manager,Cardiac ICU,Tagesklinik,Germany,Deutsch (de) - German,3,Intermediate,No,Yes,Webinar,4,Enhance PICC line insertion and maintenance skills,HealthSight,BD5264,No,4.2
HCP0065,Nurse,Critical Care,CH,France,Français (fr) - French,5,Beginner,Yes,Yes,On-site,24,Améliorer la conformité préanalytique et réduire les non-conformités,BD Vacutainer®,,Yes,4.4
HCP0066,Physician,Medical Biology,Regionsjukhus,Norway,Norsk (Ino) - Norwegian,12,Intermediate,No,Yes,Blended,40,Improve infusion safety and reduce medication errors,,,Yes,
HCP0067,Physician,Réanimation,CPAS,Belgium,Français (fr) - French,3,Advanced,Yes,No,Webinar,40,Préparer la mise en œuvre du protocole TTM en réanimation,BD Preset™,BD0430,No,
HCP0068,Nurse,Infectious Disease,Regionsjukhus,Finland,Suomi (fi) - Finnish,19,Intermediate,No,Yes,Blended,8,Improve pre-analytical quality and reduce specimen non-conformances,BD Nexiva™,,Yes,3.5
HCP0069,Physician,Emergency Department,Regionsjukhus,Denmark,Dansk (da) - Danish,23,Intermediate,Yes,Yes,Blended,16,Optimise Pyxis ES dispensing workflows,BD Alaris™,BD0310,No,2.9
HCP0070,Physician,Nephrology,Universitetssjukhus,Denmark,Dansk (da) - Danish,14,Beginner,Yes,Yes,E-learning,4,Prepare for OPCO-funded certification in vascular access,BD Preset™,BD5905,Yes,4.6
HCP0071,Nurse,Gériatrie,Hôpital Général,France,Français (fr) - French,10,Expert,Yes,Yes,Webinar,40,Améliorer la sécurité des perfusions et réduire les erreurs médicamenteuses,BD Microtainer®,BD3268,No,3.7
HCP0072,Nurse,Vascular Surgery,Academic Medical Center,Czech Republic,Čeština (cs) - Czech,12,Expert,No,Yes,E-learning,8,Onboard on BD Nexiva™ IV catheter system,Pyxis Anesthesia,BD7179,No,3.2
HCP0073,System Manager,Geriatrics,Private Hospital,Poland,Polski (pl) - Polish,28,Beginner,No,Yes,Webinar,4,Support career development with certified training (Qualiopi equivalent),BD Eclipse™,BD0105,Yes,4.5
HCP0074,Pharmacist,Surgery,Ospedale Regionale,Italy,Italiano (it) - Italian,28,Advanced,No,Yes,Blended,24,Improve infusion safety and reduce medication errors,BD Eclipse™,BD8306,Yes,
HCP0075,System Manager,Trauma ICU,Huisartsenpraktijk,Netherlands,Nederlands (nl) - Dutch,12,Intermediate,No,Yes,E-learning,16,Train on BD Rowa™ pharmacy automation system,BD Nexiva™,BD3128,Yes,
HCP0076,Nurse,Microbiology,GGZ,Netherlands,Nederlands (nl) - Dutch,21,Intermediate,Yes,Yes,Masterclass,16,Support career development with certified training (Qualiopi equivalent),Pyxis Anesthesia,BD4244,No,3.0
HCP0077,Pharmacist,Cardiac ICU,Tagesklinik,Germany,Deutsch (de) - German,24,Intermediate,No,Yes,E-learning,16,Optimise Pyxis ES dispensing workflows,BD Alaris™,,Yes,2.6
HCP0078,Physician,Cardiology,Casa di Cura,Italy,Italiano (it) - Italian,15,Intermediate,No,Yes,Blended,2,Develop vascular access unit expertise,BD Rowa™,BD3261,Yes,3.2
HCP0079,Physician,Cardiac ICU,MSP,France,Français (fr) - French,13,Intermediate,Yes,Yes,On-site,16,Développer les compétences en pose et entretien de PICC line,BD Alaris™,BD5282,Yes,4.0
HCP0080,Pharmacist,Formulary Management,Ospedale Universitario,Italy,Italiano (it) - Italian,24,Beginner,No,No,E-learning,2,Develop vascular access unit expertise,BD TTM System,BD9941,No,3.1
HCP0081,Clinical Pharmacist,Pulmonology,Policlinico,Italy,Italiano (it) - Italian,19,Intermediate,No,Yes,Webinar,40,Train on BD Rowa™ pharmacy automation system,BD Insyte™,BD3438,Yes,
HCP0082,Biomedical Engineer,Clinical Pharmacy,Universitätsklinikum,Germany,Deutsch (de) - German,16,Intermediate,Yes,No,On-site,4,Validate Qualiopi competencies for task delegation,,BD7164,Yes,3.8
HCP0083,System Manager,ICU / Critical Care,Ambulatory Surgery Center,United States,English (United States),19,Intermediate,No,No,Blended,24,Prepare for targeted temperature management protocol implementation,Pyxis ES,,No,3.7
HCP0084,Nurse,Equipment Maintenance,Hospital Distrital,Portugal,Português (pt) - Portuguese,10,Beginner,Yes,No,Blended,8,Prepare for OPCO-funded certification in vascular access,BD Bair Hugger™,,Yes,4.4
HCP0085,Nurse,Emergency Department,Universitätsklinikum,Austria,Deutsch (de) - German,16,Intermediate,No,No,Masterclass,40,Improve pre-analytical quality and reduce specimen non-conformances,BD Insyte™,,Yes,4.4
HCP0086,Nurse,Hématologie,GP Surgery,United Kingdom,English (United Kingdom),22,Advanced,No,Yes,E-learning,2,Onboard on BD Nexiva™ IV catheter system,BD Eclipse™,,Yes,3.3
HCP0087,Nurse,Advanced Practice Nursing,Casa di Cura,Italy,Italiano (it) - Italian,18,Intermediate,No,No,Blended,16,Validate Qualiopi competencies for task delegation,BD Bair Hugger™,,Yes,4.7
HCP0088,Pharmacist,Specimen Management,Universitetssjukhus,Finland,Suomi (fi) - Finnish,8,Intermediate,No,Yes,E-learning,8,Improve infusion safety and reduce medication errors,BD Nexiva™,,Yes,4.1
HCP0089,Nurse,Cardiology,EHPAD,France,Français (fr) - French,11,Expert,Yes,Yes,E-learning,40,Améliorer la sécurité des perfusions et réduire les erreurs médicamenteuses,HealthSight,,Yes,3.6
HCP0090,ICU Specialist,ICU / Critical Care,Tagesklinik,Germany,Deutsch (de) - German,14,Beginner,No,Yes,E-learning,16,Onboard on BD Nexiva™ IV catheter system,,BD5905,Yes,3.5
HCP0091,Pharmacist,Surgical ICU,EHPAD,France,Français (fr) - French,18,Advanced,Yes,Yes,Blended,2,Valider les compétences Qualiopi pour la délégation de tâches infirmières,BD Nexiva™,BD2669,No,2.6
HCP0092,Pharmacy Manager,Chirurgie,Integrated Care Board,United Kingdom,English (United Kingdom),20,Advanced,No,Yes,E-learning,2,Gain expert-level certification in TTM management,BD Microtainer®,BD5896,Yes,4.1
HCP0093,Pharmacist,Hématologie,MSP,France,Français (fr) - French,10,Intermediate,Yes,Yes,Webinar,8,Valider les compétences Qualiopi pour la délégation de tâches infirmières,BD PICCline,BD5812,Yes,3.4
HCP0094,Pharmacist,Biochemistry,Centro de Saúde,Portugal,Português (pt) - Portuguese,16,Intermediate,No,No,E-learning,2,Support career development with certified training (Qualiopi equivalent),VADvisor™,BD9406,No,4.1
HCP0095,Pharmacy Manager,Vascular Surgery,Private Hospital,United Kingdom,English (United Kingdom),10,Advanced,Yes,No,Webinar,24,Prepare for targeted temperature management protocol implementation,,BD4802,Yes,4.3
HCP0096,System Manager,Microbiology,Clínica Privada,Spain,Español (es) - Spanish,13,Intermediate,No,Yes,E-learning,8,Enhance PICC line insertion and maintenance skills,BD Provena™,,No,3.6
HCP0097,Pharmacy Manager,Critical Care,CH,France,Français (fr) - French,12,Expert,Yes,No,Masterclass,4,Préparer une certification financée par l'OPCO en accès vasculaire,BD A-Line™,BD0639,Yes,
HCP0098,Nurse,Cardiologie,CH,France,Français (fr) - French,2,Intermediate,Yes,Yes,Webinar,8,Préparer une certification financée par l'OPCO en accès vasculaire,BD Alaris™,,Yes,3.0
HCP0099,Pharmacist,Réanimation,Residencia,Spain,Español (es) - Spanish,2,Intermediate,Yes,Yes,E-learning,2,Prepare for OPCO-funded certification in vascular access,HealthSight,BD3422,Yes,3.6
HCP0100,Pharmacy Manager,Cardiologie,Academic Medical Center,Greece,Ελληνικά (el) - Greek,30,Intermediate,No,Yes,Webinar,24,Prepare for targeted temperature management protocol implementation,BD TTM System,BD6391,No,3.3
HCP0101,Physician,IT Systems,Casa di Cura,Italy,Italiano (it) - Italian,6,Intermediate,Yes,No,E-learning,40,Train on BD Rowa™ pharmacy automation system,BD Alaris™,,Yes,3.7
HCP0102,Physician,Urgences,Üniversite Hastanesi,Turkey,Türkçe (tr) - Turkish,7,Beginner,No,Yes,E-learning,16,Prepare for OPCO-funded certification in vascular access,,BD3652,No,2.9
HCP0103,Nurse,Critical Care,Centro de Salud,Spain,Español (es) - Spanish,20,Advanced,Yes,Yes,E-learning,4,Improve infusion safety and reduce medication errors,BD Preset™,BD6614,Yes,4.3
HCP0104,Nurse Practitioner,Neurology,Clinique Privée,France,Français (fr) - French,4,Expert,Yes,No,Webinar,16,Former les nouveaux utilisateurs au système BD Alaris™,BD Microtainer®,,No,4.7
HCP0105,Pharmacist,Emergency ICU,Clínica Privada,Spain,Español (es) - Spanish,11,Advanced,Yes,Yes,E-learning,40,Support career development with certified training (Qualiopi equivalent),HealthSight,BD8062,Yes,2.8
HCP0106,Pharmacist,Infectious Disease,Ambulatory Surgery Center,United States,English (United States),9,Intermediate,Yes,No,E-learning,16,Prepare for targeted temperature management protocol implementation,,,Yes,4.4
HCP0107,Physician,Critical Care,NHS Trust,United Kingdom,English (United Kingdom),13,Intermediate,No,Yes,E-learning,4,Support career development with certified training (Qualiopi equivalent),BD Eclipse™,,Yes,3.7
HCP0108,Nurse,Pharmacie Hospitalière,Community Trust,United Kingdom,English (United Kingdom),23,Beginner,No,Yes,On-site,4,Prepare for BD Vacutainer® train-the-trainer programme,BD TTM System,BD7211,Yes,4.1
HCP0109,Pharmacist,Pharmacy Management,Academic Medical Center,Czech Republic,Čeština (cs) - Czech,2,Intermediate,No,Yes,E-learning,40,Enhance PICC line insertion and maintenance skills,BD Microtainer®,BD8393,Yes,3.7
HCP0110,Pharmacist,Pharmacie Hospitalière,Ospedale Regionale,Italy,Italiano (it) - Italian,6,Intermediate,No,Yes,Webinar,2,Optimise Pyxis ES dispensing workflows,BD TTM System,BD9406,Yes,3.4
HCP0111,Physician,Biochemistry,Regionsjukhus,Denmark,Dansk (da) - Danish,22,Intermediate,No,Yes,Webinar,16,Train on BD Rowa™ pharmacy automation system,BD Foley,,Yes,2.7
HCP0112,Physician,Pharmacie Hospitalière,NHS Trust,United Kingdom,English (United Kingdom),7,Intermediate,No,Yes,Webinar,4,Support career development with certified training (Qualiopi equivalent),BD Preset™,,Yes,3.0
HCP0113,ICU Specialist,Gériatrie,MVZ,Germany,Deutsch (de) - German,16,Beginner,No,Yes,Blended,40,Prepare for OPCO-funded certification in vascular access,BD Nexiva™,BD0430,No,3.3
HCP0114,Pharmacist,Neurologie,EHPAD,France,Français (fr) - French,16,Intermediate,Yes,No,On-site,4,Former les nouveaux utilisateurs au système BD Alaris™,BD Microtainer®,BD0265,No,3.6
HCP0115,Nurse,Anesthesiology,HAD,France,Français (fr) - French,21,Expert,Yes,Yes,E-learning,8,Former les nouveaux utilisateurs au système BD Alaris™,BD BodyGuard T,BD4802,Yes,3.8
HCP0116,Nurse,Pharmacie Hospitalière,Academic Medical Center,Israel,English (United Kingdom),14,Intermediate,No,Yes,E-learning,4,Prepare for targeted temperature management protocol implementation,BD Microtainer®,,Yes,3.2
HCP0117,Nurse,Hématologie,Primärvård,Sweden,Svenska (sv) - Swedish,10,Beginner,No,No,E-learning,2,Support career development with certified training (Qualiopi equivalent),Pyxis Anesthesia,BD7631,Yes,3.1
HCP0118,System Manager,Pediatrics,Community Hospital,Romania,Română (ro) - Romanian,4,Intermediate,No,Yes,E-learning,16,Improve infusion safety and reduce medication errors,BD Bair Hugger™,,No,4.0
HCP0119,System Manager,Clinical Pharmacy,HAD,France,Français (fr) - French,6,Intermediate,Yes,Yes,On-site,4,Valider les compétences Qualiopi pour la délégation de tâches infirmières,,BD6578,No,4.6
HCP0120,Nurse,Pulmonology,Regionsjukhus,Finland,Suomi (fi) - Finnish,11,Advanced,No,No,Blended,2,Improve pre-analytical quality and reduce specimen non-conformances,BD Rowa™,BD6559,No,
HCP0121,Pharmacist,Infectious Disease,RSA,Italy,Italiano (it) - Italian,6,Beginner,Yes,No,On-site,40,Optimise Pyxis ES dispensing workflows,BD Midline,,Yes,3.5
HCP0122,Nurse,Gériatrie,MVZ,Germany,Deutsch (de) - German,28,Advanced,No,Yes,Webinar,2,Validate Qualiopi competencies for task delegation,BD Alaris™,BD5811,Yes,3.7
HCP0123,Biomedical Engineer,Pharmacy Management,MSP,France,Français (fr) - French,6,Intermediate,Yes,Yes,Webinar,4,Améliorer la conformité préanalytique et réduire les non-conformités,BD Foley,BD0152,Yes,4.9
HCP0124,System Manager,Neurology,CH,France,Français (fr) - French,15,Intermediate,Yes,Yes,E-learning,8,Former les nouveaux utilisateurs au système BD Alaris™,BD PICCline,,Yes,3.1
HCP0125,Pharmacist,Trauma ICU,Pflegeheim,Germany,Deutsch (de) - German,2,Advanced,No,Yes,E-learning,16,Optimise Pyxis ES dispensing workflows,BD Midline,BD5457,Yes,
HCP0126,System Manager,Anesthesiology,Hôpital Général,France,Français (fr) - French,13,Intermediate,Yes,Yes,E-learning,4,Améliorer la conformité préanalytique et réduire les non-conformités,BD Alaris™,BD0359,No,4.5
HCP0127,Pharmacy Manager,Neurology,Ospedale Universitario,Italy,Italiano (it) - Italian,11,Advanced,Yes,No,On-site,24,Train on BD Rowa™ pharmacy automation system,BD Rowa™,,Yes,4.3
HCP0128,Pharmacist,Internal Medicine,Clinique Privée,France,Français (fr) - French,1,Intermediate,Yes,Yes,Blended,16,Développer les compétences en pose et entretien de PICC line,BD Bair Hugger™,BD4080,No,4.9
HCP0129,Pharmacist,Hématologie,Kantonsspital,Switzerland,Deutsch (de) - German,19,Intermediate,No,Yes,Webinar,16,Master blood collection techniques with BD Vacutainer® systems,Pyxis ES,BD0647,Yes,4.0
HCP0130,Physician,Microbiology,Casa di Cura,Italy,Italiano (it) - Italian,5,Beginner,No,No,Blended,16,Prepare for BD Vacutainer® train-the-trainer programme,BD Foley,BD2465,Yes,3.5
HCP0131,Biomedical Engineer,Pharmacy Management,Kreiskrankenhaus,Austria,Deutsch (de) - German,10,Advanced,No,Yes,Webinar,16,Onboard new staff on BD Alaris™ infusion pump systems,BD Eclipse™,,Yes,3.4
HCP0132,Pharmacy Manager,Surgical ICU,Private Hospital,Poland,Polski (pl) - Polish,7,Advanced,No,Yes,E-learning,16,Prepare for targeted temperature management protocol implementation,BD Microtainer®,BD9417,Yes,
HCP0133,ICU Specialist,Cardiac ICU,NHS Trust,United Kingdom,English (United Kingdom),12,Intermediate,No,Yes,Webinar,8,Train on BD Rowa™ pharmacy automation system,Pyxis Anesthesia,,Yes,4.5
HCP0134,Pharmacy Manager,Gastroenterology,Clinique Spécialisée,Belgium,Français (fr) - French,1,Advanced,Yes,No,Blended,24,Préparer la mise en œuvre du protocole TTM en réanimation,BD PICCline,,No,3.6
