Module_ID,Module_Title,Business_Unit_Full,Business_Unit,Topic_Domain,Training_Type,Delivery_Format,Duration_Hours,Skill_Level,Target_Roles,Language,Country,Certification,OPCO_Eligible,Prerequisites_Module_ID,Course_Active,Created_By,Created_Date,Description
BD5322,TTM U Livello Principiante,Urology and Critical Care,UCC,Urology & Critical Care,Product Training,Blended,2,Intermediate,Biomedical Engineer,Italiano (it) - Italian,Italy,No,No,,YES,Louise Oakes,4/24/25,"Intermediate-level TTM course for critical care nurses and physicians. Covers equipment setup, vital signs monitoring during therapy, protocol adjustments, and clinical documentation requirements."
BD1289,BD Vacutainer® Eclipse™ Signal™ jehla pro odběr krve,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,Product Training,E-learning,1,Intermediate,Nurse|ICU Specialist,Čeština (cs) - Czech,Czech Republic,No,Yes,,YES,Veronika  Bican,9/25/25,"Training on BD Vacutainer® blood collection system best practices. Covers tube selection, order of draw, labelling standards, and pre-analytical error prevention."
BD5725,Pyxis MedStation ES device basics for new users (~5 minutes),Medication Management Solutions,MMS,Medication Management,Product Training,Masterclass,0.5,Intermediate,System Manager,English (United States),United States,No,Yes,,YES,Joel Roney,9/26/23,"Step-by-step onboarding for new clinical users of the Pyxis ES dispensing cabinet. Covers login, medication retrieval, discrepancy resolution, and restocking workflows."
BD1235,Social Media Awareness 2.0 (UK/EU),Select Business,SB,Medication Management,Product Training,On-site,2,Intermediate,Physician|ICU Specialist,English (United Kingdom),Select Country,No,No,,YES,Deleted User,4/21/21,Cross-portfolio product awareness module for healthcare professionals new to BD solutions.
BD5296,BD Vacutainer® UltraTouch™ Push Button blodprøvetagningssæt,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,Premium,Webinar,0.25,Beginner,System Manager,Dansk (da) - Danish,Denmark,Yes,No,,YES,Sofia Rosenstroem,1/29/25,"Module on blood culture collection protocols using BD Vacutainer® systems. Reviews aseptic technique, volume requirements, incubation, and result interpretation."
BD7405,BD Vacutainer® Çoklu Örnek Luer Adaptörü,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,Product Training,E-learning,1.5,Intermediate,Nurse|Physician,Türkçe (tr) - Turkish,Turkey,No,Yes,BD0978,YES,Onur Alti,11/1/23,"Module on blood culture collection protocols using BD Vacutainer® systems. Reviews aseptic technique, volume requirements, incubation, and result interpretation."
BD7369,BD Pyxis Inventory Connect - PIC Essentials Training,Medication Management Solutions,MMS,Medication Management,Premium,Webinar,1.5,Beginner,Nurse,English (United States),Germany,Yes,No,BD0831,YES,Dominik Bandel,10/20/23,"Step-by-step onboarding for new clinical users of the Pyxis ES dispensing cabinet. Covers login, medication retrieval, discrepancy resolution, and restocking workflows."
BD1382,Formation au seringue BD Preset™ Eclipse™ pour prélèvement de sang artériel,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,BDLA,E-learning,1,Beginner,Pharmacy Manager,Français (fr) - French,France,No,No,,YES,Emilie Verite,10/26/23,"Formation sur les meilleures pratiques de prélèvement avec le système BD Vacutainer®. Couvre la sélection des tubes, l'ordre de remplissage et la prévention des erreurs pré-analytiques."
BD9796,BD Alaris™ System: Pump Preventive Maintenance (~27 min),Medication Management Solutions,MMS,Medication Management,Product Training,Webinar,1,Intermediate,Biomedical Engineer,English (United Kingdom),United States,No,No,BD0742,YES,MMS-GCS Education Services,4/11/22,"Advanced configuration training for BD Alaris™ Guardrails® Suite MX drug library updates, DERS rules management, and CQI data analysis."
BD9875,Difficult Venous Access Collection - Venipuncture,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,Premium,E-learning,0.5,Intermediate,Physician|ICU Specialist,English (United Kingdom),United Kingdom,Yes,No,,YES,Kamal Ibrahim,7/18/23,"Course on BD Preset™ arterial blood gas syringe usage. Covers clinical indications, collection, labelling, and pre-analytical variable management."
BD1389,BD DIDACT BASE Knowledge Test,Medication Delivery Solutions,MDS,Vascular Access & Infusion,Product Training,E-learning,3,Advanced,Physician|ICU Specialist,Italiano (it) - Italian,Italy,No,No,,YES,Nazeerah Ramdhian-Demery,11/6/24,"Module on BD Provena™ midline catheter insertion and maintenance. Covers patient selection criteria, insertion technique, and long-term care protocols."
BD5929,BD Bodyguard™ Infusion Pump Clinical Overview (SE),Medication Management Solutions,MMS,Medication Management,Product Training,E-learning,1,Expert,ICU Specialist,Svenska (sv) - Swedish,Sweden,No,No,,YES,Jane Lovette,2/19/26,"Parcours d'apprentissage sur la sécurisation du circuit du médicament. Comprend la gestion des alertes, la réconciliation médicamenteuse et la pharmacovigilance."
BD1658,BD Rowa™ Vmax/Smart - mantenimiento - ES,Medication Management Solutions,MMS,Medication Management,BDLA,Webinar,1.5,Advanced,Pharmacist|System Manager,Español (es) - Spanish,Spain,No,No,,YES,Dominik Bandel,4/15/24,"Training on HealthSight clinical decision support integration with BD Alaris™ systems. Covers data dashboards, protocol compliance monitoring, and reporting."
BD2713,A preanalitikai hibák csökkentésére szolgáló bevált gyakorlatok a vérvételhez kapcsolódóan,Specimen Management,SM,Specimen Collection & Diagnostics,Qualiopi,E-learning,2,Intermediate,Pharmacist|System Manager,English (United Kingdom),Hungary,Yes,Yes,BD0767,YES,Veronika  Bican,1/19/26,"Training on blood and body fluid specimen processing workflows. Reviews centrifugation, aliquoting, storage conditions, and transportation requirements."
BD3919,BD Safety Switch,Medication Delivery Solutions,MDS,Vascular Access & Infusion,Product Training,On-site,3,Intermediate,Pharmacist|System Manager,English (United Kingdom),United Kingdom,No,No,BD0473,YES,Nazeerah Ramdhian-Demery,12/23/25,"Module on BD Provena™ midline catheter insertion and maintenance. Covers patient selection criteria, insertion technique, and long-term care protocols."
BD8240,BD Rowa™ Vmax 160 Mise en route FR,Medication Management Solutions,MMS,Medication Management,BDLA,Masterclass,3,Advanced,Nurse,Français (fr) - French,France,No,Yes,,YES,Dominik Bandel,2/19/24,"Parcours d'initiation aux armoires de dispensation Pyxis ES : connexion, retrait des médicaments, résolution des écarts et procédures de réapprovisionnement."
BD8453,Corso di formazione sul set per prelievo BD Vacutainer® Safety-Lok™,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,Premium,E-learning,1,Advanced,,Italiano (it) - Italian,Italy,Yes,No,,YES,Alessandro Olgiati,7/5/24,"Training on BD Vacutainer® blood collection system best practices. Covers tube selection, order of draw, labelling standards, and pre-analytical error prevention."
BD5728,Environmental - Reducing Your Carbon Footprint 1.0,Select Business,SB,Medication Management,Premium,E-learning,1,Intermediate,Pharmacy Manager,English (United Kingdom),Select Country,Yes,No,BD0327,YES,Deleted User,7/11/23,"General orientation training for BD product users. Covers company values, quality policy, device classification, and key product categories."
BD5494,BD Venflon™ Pro Safety with Instaflash,Medication Delivery Solutions,MDS,Vascular Access & Infusion,Qualiopi,E-learning,3,Intermediate,Pharmacist,English (United Kingdom),,Yes,Yes,,YES,Nazeerah Ramdhian-Demery,8/12/24,"Module on BD Provena™ midline catheter insertion and maintenance. Covers patient selection criteria, insertion technique, and long-term care protocols."
BD1299,BD Rowa™ Vmax 160/Smart - Troubleshooting - EN,Medication Management Solutions,MMS,Medication Management,Product Training,E-learning,4,Beginner,Physician,English (United Kingdom),,No,No,,YES,Dominik Bandel,4/15/24,"Advanced configuration training for BD Alaris™ Guardrails® Suite MX drug library updates, DERS rules management, and CQI data analysis."
BD6879,FR_BD TIVA,Medication Delivery Solutions,MDS,Vascular Access & Infusion,BDLA,Webinar,3,Beginner,Physician|ICU Specialist,Français (fr) - French,France,No,No,,YES,Nazeerah Ramdhian-Demery,8/15/25,"Module BDLA sur l'insertion de PICC line avec repérage ECG. Couvre l'évaluation pré-insertion, la technique stérile et la vérification de la position."
BD0026,Systém pro odběr moči BD Vacutainer®,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,BDLA,E-learning,2,Intermediate,Physician,Čeština (cs) - Czech,Czech Republic,No,Yes,,YES,Veronika  Bican,9/26/25,"Module on blood culture collection protocols using BD Vacutainer® systems. Reviews aseptic technique, volume requirements, incubation, and result interpretation."
BD9080,BD Rowa™ Vmax 210 - Funcionamiento básico (ES),Medication Management Solutions,MMS,Medication Management,Product Training,Blended,1,Beginner,Nurse,Español (es) - Spanish,Spain,No,No,,YES,Dominik Bandel,2/19/24,"Course on BD Rowa™ automated pharmacy dispensing robots. Covers loading procedures, retrieval operations, error handling, and maintenance routines."
BD1699,BD PosiFlush™,Medication Delivery Solutions,MDS,Vascular Access & Infusion,Qualiopi,On-site,0.25,Intermediate,Pharmacy Manager,English (United Kingdom),United Kingdom,Yes,Yes,BD0180,YES,Nazeerah Ramdhian-Demery,9/11/24,"Training on BD Insyte™ Autoguard BC catheter for peripheral IV placement. Reviews site selection, insertion angle, blood control, and fixation."
BD7841,BD Vacutainer® System för urinprovtagning,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,BDLA,On-site,2,Beginner,System Manager,Svenska (sv) - Swedish,,No,No,,YES,Linda Vinberg,10/24/23,"Training on BD Vacutainer® blood collection system best practices. Covers tube selection, order of draw, labelling standards, and pre-analytical error prevention."
BD5081,BD Rowa™ Vmax 210 - Solución de problemas - ES,Medication Management Solutions,MMS,Medication Management,BDLA,Masterclass,1,Intermediate,System Manager,Español (es) - Spanish,Spain,No,No,,YES,Dominik Bandel,4/15/24,"Parcours d'apprentissage sur la sécurisation du circuit du médicament. Comprend la gestion des alertes, la réconciliation médicamenteuse et la pharmacovigilance."
BD4477,Bästa praxis för att minska preanalytiska fel i samband med blodprovtagning,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,Product Training,E-learning,2,Advanced,Pharmacist,Svenska (sv) - Swedish,Sweden,No,No,,YES,Linda Vinberg,10/24/23,"Course on BD Preset™ arterial blood gas syringe usage. Covers clinical indications, collection, labelling, and pre-analytical variable management."
BD4370,Extracción de sangre con Palomilla BD Vacutainer® UltraTouch™ Push Button,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,Qualiopi,On-site,1.5,Beginner,Nurse|ICU Specialist,Español (es) - Spanish,Spain,Yes,Yes,,YES,Angel Cervantes,11/3/23,"Training on BD Vacutainer® blood collection system best practices. Covers tube selection, order of draw, labelling standards, and pre-analytical error prevention."
BD5022,BD Saf-T-Intima™,Medication Delivery Solutions,MDS,Vascular Access & Infusion,BDLA,On-site,1,Beginner,Pharmacy Manager,English (United Kingdom),United Kingdom,No,No,,YES,Nazeerah Ramdhian-Demery,6/18/25,"Training on BD Nexiva™ closed IV catheter system for peripheral venous access. Covers insertion technique, securement, and care-and-maintenance protocols."
BD0940,Dispositivo de Transferencia Blood Transfer Device BD Vacutainer®,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,Product Training,Webinar,3,Intermediate,Nurse,Español (es) - Spanish,Spain,No,No,,YES,Angel Cervantes,11/27/23,"Training on BD Vacutainer® blood collection system best practices. Covers tube selection, order of draw, labelling standards, and pre-analytical error prevention."
BD2069,BD Alaris™ System: Pump Reassembly Videos (~15 min),Medication Management Solutions,MMS,Medication Management,Product Training,On-site,1,Intermediate,Pharmacist|System Manager,English (United Kingdom),United States,No,No,BD0461,YES,MMS-GCS Education Services,4/11/22,"Training on BD Alaris™ infusion system safety features including Guardrails® drug library management, alarm configuration, dose error reduction software, and EHR integration for closed-loop medication administration."
BD1260,BD Rowa™ Smart - Entrée manuelle - FR,Medication Management Solutions,MMS,Medication Management,BDLA,Webinar,1.5,Intermediate,Nurse,Français (fr) - French,France,No,Yes,,YES,Dominik Bandel,4/8/24,"Formation sur le système de perfusion BD Alaris™ incluant la gestion de la bibliothèque de médicaments Guardrails®, la configuration des alarmes et l'intégration au DPI."
BD1930,BD Rowa™ Pickup - Primeros pasos - ES,Medication Management Solutions,MMS,Medication Management,Product Training,E-learning,20,Intermediate,ICU Specialist,Español (es) - Spanish,Spain,No,No,,YES,Dominik Bandel,4/15/24,"Introduction to automated dispensing cabinets for pharmacy technicians. Reviews medication safety workflows, barcode scanning, and replenishment processes."
BD7293,DoD MedStation ES System Manager Training,Medication Management Solutions,MMS,Medication Management,External,On-site,20,Expert,Physician,English (United Kingdom),United States,No,No,BD0298,YES,MMS-GCS Education Services,4/11/22,"Training on HealthSight clinical decision support integration with BD Alaris™ systems. Covers data dashboards, protocol compliance monitoring, and reporting."
BD2853,BD Vacutainer® Kan Transferi Cihazı,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,Qualiopi,Webinar,0.5,Beginner,ICU Specialist,Türkçe (tr) - Turkish,Turkey,Yes,Yes,,YES,Onur Alti,11/1/23,"Training on BD Vacutainer® blood collection system best practices. Covers tube selection, order of draw, labelling standards, and pre-analytical error prevention."
BD7658,BD Rowa™ Vmax/Smart Entretien des stocks - FR,Medication Management Solutions,MMS,Medication Management,Qualiopi,Webinar,0.25,Intermediate,Biomedical Engineer,Français (fr) - French,France,Yes,Yes,,YES,Dominik Bandel,4/15/24,"Parcours d'initiation aux armoires de dispensation Pyxis ES : connexion, retrait des médicaments, résolution des écarts et procédures de réapprovisionnement."
BD6709,BD Pyxis™ ES System Server Application Job Aids - v1.6i International,Medication Management Solutions,MMS,Medication Management,Qualiopi,E-learning,1.5,Expert,Nurse|Physician,English (United Kingdom),United States,Yes,Yes,,YES,Joel Roney,5/17/24,"System Manager-level training on Pyxis Enterprise Server reporting, user administration, formulary configuration, and audit trail management."
BD9033,Pivot Tables – Basic Setup for Dispensing Knowledge Portal Data,Medication Management Solutions,MMS,Medication Management,BDLA,E-learning,1,Expert,Nurse|ICU Specialist,English (United Kingdom),United States,No,Yes,,YES,MMS-GCS Education Services,4/12/22,"Step-by-step onboarding for new clinical users of the Pyxis ES dispensing cabinet. Covers login, medication retrieval, discrepancy resolution, and restocking workflows."
BD3695,DE_TIVA sets,Medication Delivery Solutions,MDS,Vascular Access & Infusion,Product Training,Blended,3,Advanced,Physician|ICU Specialist,Deutsch (de) - German,Germany,No,No,,YES,Nazeerah Ramdhian-Demery,1/27/26,"Module on BD Eclipse™ safety needle systems for blood collection and injection. Reviews safety activation mechanisms, disposal requirements, and occupational exposure prevention."
BD8741,System Manager - BD Pyxis Med Link Queue & Waste v1.8 for ES v1.5,Medication Management Solutions,MMS,Medication Management,Product Training,Webinar,1.5,Intermediate,,English (United Kingdom),,No,Yes,,YES,MMS-GCS Education Services,4/11/22,"System Manager-level training on Pyxis Enterprise Server reporting, user administration, formulary configuration, and audit trail management."
BD9450,BD Rowa™ Vmax/Smart - Manutenzione - FR,Medication Management Solutions,MMS,Medication Management,Product Training,E-learning,1.5,Intermediate,Physician|ICU Specialist,Français (fr) - French,France,No,Yes,BD0658,YES,Dominik Bandel,4/15/24,"Parcours d'initiation aux armoires de dispensation Pyxis ES : connexion, retrait des médicaments, résolution des écarts et procédures de réapprovisionnement."
BD6654,CLP1054 - Pyxis PARx v5.0 System for System Managers,Medication Management Solutions,MMS,Medication Management,Product Training,E-learning,1,Beginner,ICU Specialist,English (United Kingdom),United States,No,No,,YES,MMS-GCS Education Services,4/11/22,"System Manager-level training on Pyxis Enterprise Server reporting, user administration, formulary configuration, and audit trail management."
BD5659,TTM U Livello Base,Urology and Critical Care,UCC,Urology & Critical Care,External,E-learning,1.5,Intermediate,Nurse|Physician,Italiano (it) - Italian,,No,No,,YES,Louise Oakes,4/24/25,"Advanced module on targeted temperature management (TTM). Covers cooling protocols, complication management, data interpretation, and best practices for ICU patients."
BD4755,"System Manager PHASE I (~1 hour, 35 minutes)",Medication Management Solutions,MMS,Medication Management,Premium,Blended,7,Intermediate,Pharmacist|System Manager,English (United States),United States,Yes,Yes,BD0195,YES,Joel Roney,10/2/23,"Training on HealthSight clinical decision support integration with BD Alaris™ systems. Covers data dashboards, protocol compliance monitoring, and reporting."
BD8434,BD Pyxis™ Anesthesia Station Job Aids - v1.7.x International,Select Business,SB,Medication Management,BDLA,Blended,0.25,Intermediate,ICU Specialist,English (United Kingdom),United States,No,No,,YES,Joel Roney,5/16/24,Cross-portfolio product awareness module for healthcare professionals new to BD solutions.
BD9790,BD Vacutainer® Eclipse™ Signal™ -verinäytteenottoneula,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,Premium,Webinar,1.5,Intermediate,Pharmacist,Suomi (fi) - Finnish,Finland,Yes,Yes,,YES,Linda Vinberg,10/26/23,"Module on blood culture collection protocols using BD Vacutainer® systems. Reviews aseptic technique, volume requirements, incubation, and result interpretation."
BD0742,Formation à l'aiguille BD Vacutainer Precision Glide™,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,BDLA,Webinar,1.5,Beginner,Nurse|ICU Specialist,Français (fr) - French,France,No,Yes,,YES,Emilie Verite,10/26/23,"Formation sur les meilleures pratiques de prélèvement avec le système BD Vacutainer®. Couvre la sélection des tubes, l'ordre de remplissage et la prévention des erreurs pré-analytiques."
BD1947,Продуктово обучение за BD Vacutainer® UltraTouch™ сет за вземане на кръв с бутон,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,Product Training,E-learning,20,Intermediate,Pharmacist,Български (bg) - Bulgarian,,No,No,,YES,Veronika  Bican,9/2/25,"Module on blood culture collection protocols using BD Vacutainer® systems. Reviews aseptic technique, volume requirements, incubation, and result interpretation."
BD0638,BD Pyxis CIISafe Locations Workbook,Medication Management Solutions,MMS,Medication Management,Product Training,E-learning,1,Intermediate,Pharmacy Manager,English (United Kingdom),United States,No,No,,YES,MMS-GCS Education Services,4/11/22,"Step-by-step onboarding for new clinical users of the Pyxis ES dispensing cabinet. Covers login, medication retrieval, discrepancy resolution, and restocking workflows."
BD4903,BD Provena™ Midline,Medication Delivery Solutions,MDS,Vascular Access & Infusion,BDLA,Webinar,1,Intermediate,Nurse|Physician,English (United Kingdom),United Kingdom,No,No,,YES,Nazeerah Ramdhian-Demery,10/21/24,"Comprehensive vascular access training for nurses covering PICC line insertion, dressing changes, flushing protocols, and troubleshooting."
BD6825,v9.33 Alaris™ ETCO2 Module: BD Alaris™ System with Guardrails Suite MX Training,Medication Management Solutions,MMS,Medication Management,BDLA,On-site,2,Advanced,Nurse|Physician,English (United Kingdom),United States,No,Yes,BD0672,YES,MMS-GCS Education Services,4/11/22,"Advanced configuration training for BD Alaris™ Guardrails® Suite MX drug library updates, DERS rules management, and CQI data analysis."
BD9464,BD Rowa™ Pickup - Recurrent orders - EN,Medication Management Solutions,MMS,Medication Management,Product Training,E-learning,1.5,Intermediate,Pharmacist,English (United Kingdom),United Kingdom,No,No,,YES,Dominik Bandel,4/15/24,"Advanced configuration training for BD Alaris™ Guardrails® Suite MX drug library updates, DERS rules management, and CQI data analysis."
BD1801,Adaptador Luer BD Vacutainer® para toma múltiple,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,Product Training,E-learning,1,Intermediate,Nurse|ICU Specialist,Español (es) - Spanish,Spain,No,Yes,,YES,Angel Cervantes,11/3/23,"Module on blood culture collection protocols using BD Vacutainer® systems. Reviews aseptic technique, volume requirements, incubation, and result interpretation."
BD1021,Educator - Pyxis ES platform v1.4 Training Guides,Medication Management Solutions,MMS,Medication Management,Qualiopi,Webinar,20,Intermediate,Nurse|ICU Specialist,English (United Kingdom),United States,Yes,Yes,,YES,MMS-GCS Education Services,4/11/22,"System Manager-level training on Pyxis Enterprise Server reporting, user administration, formulary configuration, and audit trail management."
BD5609,Formation au dispositif d'accès BD Vacutainer® Luer-lok™,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,BDLA,Webinar,2,Advanced,Pharmacist|System Manager,Français (fr) - French,France,No,No,,YES,Emilie Verite,10/26/23,"Formation sur les meilleures pratiques de prélèvement avec le système BD Vacutainer®. Couvre la sélection des tubes, l'ordre de remplissage et la prévention des erreurs pré-analytiques."
